"ds_owner","hemisphere","id","gender","age_group","handedness","education","color_blindness","hours_sleep","art_light_r_w","light_dir_r_s","photo_training","carto_gis_training","geovis_3d_training","satellite_training","photo_exposure","carto_gis_exposure","geovis_3d_exposure","satellite_exposure","mask","circle_below","circle_above","shapes_01","shapes_02","shapes_03","shapes_04","shapes_05","shapes_06","shapes_07","shapes_08","shapes_09","shapes_10","q10_r000_0","q10_r000_270","q10_r000_292_5","q10_r000_315","q10_r000_337_5","q20_r045_0","q20_r045_270","q20_r045_292_5","q20_r045_315","q20_r045_337_5","q30_r090_0","q30_r090_270","q30_r090_292_5","q30_r090_315","q30_r090_337_5","q40_r135_0","q40_r135_270","q40_r135_292_5","q40_r135_315","q40_r135_337_5","q50_v000_0","q50_v000_270","q50_v000_292_5","q50_v000_315","q50_v000_337_5","q60_v045_0","q60_v045_270","q60_v045_292_5","q60_v045_315","q60_v045_337_5","q70_v090_0","q70_v090_270","q70_v090_292_5","q70_v090_315","q70_v090_337_5","q80_v135_0","q80_v135_270","q80_v135_292_5","q80_v135_315","q80_v135_337_5"
"v","southern",55,"f","20-29","r","bachelor","no","4-5","overhead","a",5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,1,1,1,5,5,1,1,1,5,1,1,1,1,5,5,5,1
"v","southern",56,"f","20-29","r","bachelor","no","4-5","desktop","m",3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,4,4,4,4,4,4,4,4,2,4,5,3,4,4,4,4,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,3,1,2,2,2,1
"v","southern",57,"f","20-29","r","bachelor","no","6-7","overhead","c,h,l",4,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,5,5,4,1,5,5,5,5,5,5,5,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2
"v","southern",58,"m","20-29","r","bachelor","yes","5-6","overhead","b,c,d,e,f,m",3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,5,5,4,5,5,5,5,4,2,4,4,4,5,2,5,5,4,2,4,1,2,1,2,2,1,1,2,1,2,2,2,2,1,3,1,3,1
"v","southern",59,"f","20-29","r","bachelor","no","3-4","none","l",5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,5,5,4,4,5,5,4,4,2,5,2,4,2,4,4,4,4,1,2,1,1,1,2,2,2,2,2,2,1,2,1,2,2,1,2,3,2
"v","southern",60,"m","20-29","r","bachelor","no","4-5","overhead","d",4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,2,2,4,2,2,4,2,1,2,4,2,4,1,2,2,1,4,4,2,3,2,4,4,4,4,5,2,2,1,4,4,4,2,5,2,4,2
"v","southern",61,"f","20-29","r","bachelor","no","7-8","overhead","a,e,f,g,h",3,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,5,5,3,2,4,4,4,4,2,4,4,5,4,2,4,4,5,1,1,1,1,1,1,5,4,2,2,2,5,2,1,2,1,4,2,2,2
"v","southern",62,"m","20-29","r","bachelor","no","6-7","overhead","c",4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,5,5,5,5,5,5,5,3,3,4,4,5,4,5,5,4,4,3,2,2,3,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1
"v","southern",63,"m","20-29","b","bachelor","no","5-6","overhead","c,e",1,3,1,1,"never",NA,"never","never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1
"v","southern",64,"m","20-29","r","bachelor","no","5-6","overhead","a,b,k,l",4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"v","southern",65,"f","20-29","r","bachelor","no","3-4","overhead","c,m",4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,2,5,5,5,1,1,1,1,2,4,2,2,2,2,1,4,1,1,2,2,2,1,2,2
"v","southern",66,"m","20-29","b","bachelor","no","5-6","overhead","a,b,c,d,e,i,j",5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,5,5,5,5,5,5,4,4,5,5,4,5,1,5,5,5,1,5,2,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1
"v","southern",67,"m","20-29","r","bachelor","no","4-5","overhead","b,g,j,l",4,4,1,1,NA,NA,"never","never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"v","southern",68,"m","20-29","r","bachelor","no","6-7","overhead","c",4,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,5,5,1,1,5,4,5,1,5,4,4,5,1,1,2,2,1,5,1,1,1,2,5,5,1,2,2,5,5,5,2,1,5,4,4,1
"v","southern",69,"m","20-29","r","bachelor","no","6-7","overhead","g,h,k,m",2,4,5,4,"daily","daily","daily","daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,5,5,5,5,5,4,5,5,2,1,5,5,5,5,5,2,5,5,5,5,1,1,2,5,5,5,5,4,4,5,4,2,2,5,1,1,1
"v","southern",70,"m","20-29","b","bachelor","yes","4-5","overhead","f",2,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,5,5,5,1,1,5,5,4,1,5,5,5,1,1,5,5,5,1,5,5,1,1,1,5,5,1,1,2,5,2,2,4,1,5,1,1,1
"v","southern",71,"m","20-29","r","bachelor","no","7-8","overhead","b,c,e",4,5,3,4,NA,"daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"v","southern",72,"m","20-29","r","bachelor","no","less_than_3","none","c,f,g,k",5,5,2,5,"daily","daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,3,2,2,1,2,1,1,1,1,2,1,2,1,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"v","southern",73,"f","20-29","r","bachelor","no","6-7","overhead","a,b,c,d,e,f",5,4,4,3,"daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,4,5,4,2,2,1,1,1,2,2,1,2,4,5,3,5,5,2,1,1,2,1,5,5,5,5,5,5,4,4,5,4,2,3,4,5,3
"v","southern",74,"m","20-29","r","bachelor","no","6-7","overhead","b,c,d,f,g,i,m",4,2,5,2,NA,NA,"daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,5,4,2,2,2,1,4,4,1,1,1,1,1,2,1,2,1,1,1,1,1
"v","southern",75,"m","20-29","r","bachelor","no","4-5","overhead","f,g,h",5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1
